Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding
1,0.001,0.2,500,1,0.005,-0.30912,8.5097,0.04722, Train,sgns
1,0.001,0.2,500,1,0.005,-0.33111,7.48498,0.04612,Dev/Test,sgns
2,0.001,0.2,500,1,0.005,-0.43009,5.79763,0.074, Train,sgns
2,0.001,0.2,500,1,0.005,-0.33735,4.75619,0.05475, Dev/Test,sgns
3,0.001,0.2,500,1,0.005,-0.49974,3.99322,0.09604, Train,sgns
3,0.001,0.2,500,1,0.005,-0.33045,3.42129,0.05192, Dev/Test,sgns
4,0.001,0.2,500,1,0.005,-0.54759,2.92905,0.11486, Train,sgns
4,0.001,0.2,500,1,0.005,-0.32249,2.81773,0.04816, Dev/Test,sgns
5,0.001,0.2,500,1,0.005,-0.57981,2.36348,0.12846, Train,sgns
5,0.001,0.2,500,1,0.005,-0.31626,2.40703,0.04518, Dev/Test,sgns
1,0.001,0.01,10,50,0.1,-0.18913,0.98422,0.0246, Train,sgns
1,0.001,0.01,10,50,0.1,-0.21644,1.03457,0.03075, Dev/Test,sgns
2,0.001,0.01,10,50,0.1,-0.21807,0.97554,0.03569, Train,sgns
2,0.001,0.01,10,50,0.1,-0.23358,1.0295,0.03435, Dev/Test,sgns
3,0.001,0.01,10,50,0.1,-0.2545,0.96642,0.03995, Train,sgns
3,0.001,0.01,10,50,0.1,-0.25577,1.02056,0.04094, Dev/Test,sgns
4,0.001,0.01,10,50,0.1,-0.2998,0.95846,0.04765, Train,sgns
4,0.001,0.01,10,50,0.1,-0.25874,1.01973,0.04235, Dev/Test,sgns
5,0.001,0.01,10,50,0.1,-0.33208,0.95444,0.05132, Train,sgns
5,0.001,0.01,10,50,0.1,-0.25606,1.02124,0.03765, Dev/Test,sgns
1,0.005,0.01,10,1,0.1,-0.28025,1.73508,0.04208, Train,sgns
1,0.005,0.01,10,1,0.1,-0.27492,2.4534,0.04125, Dev/Test,sgns
2,0.005,0.01,10,1,0.1,-0.3298,2.41291,0.04944, Train,sgns
2,0.005,0.01,10,1,0.1,-0.26694,2.64986,0.04471, Dev/Test,sgns
3,0.005,0.01,10,1,0.1,-0.35462,2.47114,0.05322, Train,sgns
3,0.005,0.01,10,1,0.1,-0.26065,2.58122,0.04016, Dev/Test,sgns
4,0.005,0.01,10,1,0.1,-0.37166,2.36632,0.05712, Train,sgns
4,0.005,0.01,10,1,0.1,-0.25699,2.45158,0.04094, Dev/Test,sgns
5,0.005,0.01,10,1,0.1,-0.38394,2.24248,0.06148, Train,sgns
5,0.005,0.01,10,1,0.1,-0.25593,2.36794,0.03953, Dev/Test,sgns
1,0.001,0.2,500,1,0.1,-0.21815,60.05243,0.03341, Train,sgns
1,0.001,0.2,500,1,0.1,-0.282,31.88388,0.03529, Dev/Test,sgns
2,0.001,0.2,500,1,0.1,-0.33416,29.21395,0.05052, Train,sgns
2,0.001,0.2,500,1,0.1,-0.31187,23.66993,0.0469, Dev/Test,sgns
3,0.001,0.2,500,1,0.1,-0.40705,21.75019,0.06648, Train,sgns
3,0.001,0.2,500,1,0.1,-0.32044,17.63157,0.0491, Dev/Test,sgns
4,0.001,0.2,500,1,0.1,-0.46137,15.68202,0.0815, Train,sgns
4,0.001,0.2,500,1,0.1,-0.32038,13.27308,0.04973, Dev/Test,sgns
5,0.001,0.2,500,1,0.1,-0.49902,12.15364,0.09409, Train,sgns
5,0.001,0.2,500,1,0.1,-0.31849,10.62842,0.04878, Dev/Test,sgns
1,0.001,0.2,50,20,0.005,-0.27182,0.93022,0.0398, Train,sgns
1,0.001,0.2,50,20,0.005,-0.28617,0.96844,0.0458, Dev/Test,sgns
2,0.001,0.2,50,20,0.005,-0.35402,0.89446,0.05429, Train,sgns
2,0.001,0.2,50,20,0.005,-0.28385,0.96788,0.04282, Dev/Test,sgns
3,0.001,0.2,50,20,0.005,-0.4072,0.87102,0.06515, Train,sgns
3,0.001,0.2,50,20,0.005,-0.2887,0.96577,0.04502, Dev/Test,sgns
4,0.001,0.2,50,20,0.005,-0.4446,0.85387,0.07348, Train,sgns
4,0.001,0.2,50,20,0.005,-0.28675,0.96802,0.0491, Dev/Test,sgns
5,0.001,0.2,50,20,0.005,-0.4728,0.8423,0.08109, Train,sgns
5,0.001,0.2,50,20,0.005,-0.28666,0.97273,0.04753, Dev/Test,sgns
1,0.001,0.05,50,1,0.1,-0.34107,0.97728,0.05125, Train,sgns
1,0.001,0.05,50,1,0.1,-0.3257,1.05972,0.05302, Dev/Test,sgns
2,0.001,0.05,50,1,0.1,-0.43959,0.93409,0.07528, Train,sgns
2,0.001,0.05,50,1,0.1,-0.31943,1.04308,0.05004, Dev/Test,sgns
3,0.001,0.05,50,1,0.1,-0.48663,0.88915,0.08774, Train,sgns
3,0.001,0.05,50,1,0.1,-0.31047,1.04148,0.05318, Dev/Test,sgns
