Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding,Group
1,0.001,0.1,10,5,0.005,-0.27766,0.95435,0.04169, Train,sgns,G1
1,0.001,0.1,10,5,0.005,-0.28968,0.99963,0.04016, Dev/Test,sgns,G2
2,0.001,0.1,10,5,0.005,-0.35155,0.92785,0.05324, Train,sgns,G3
2,0.001,0.1,10,5,0.005,-0.28758,0.9961,0.04235, Dev/Test,sgns,G4
3,0.001,0.1,10,5,0.005,-0.38895,0.91681,0.06024, Train,sgns,G5
3,0.001,0.1,10,5,0.005,-0.28145,0.99559,0.04627, Dev/Test,sgns,G6
4,0.001,0.1,10,5,0.005,-0.41242,0.91025,0.06466, Train,sgns,G7
4,0.001,0.1,10,5,0.005,-0.27668,0.99616,0.04502, Dev/Test,sgns,G8
5,0.001,0.1,10,5,0.005,-0.42896,0.90518,0.06682, Train,sgns,G9
5,0.001,0.1,10,5,0.005,-0.27361,0.99755,0.04392, Dev/Test,sgns,G10
1,0.001,0.1,10,10,0.005,-0.26236,0.9654,0.0404, Train,sgns,G11
1,0.001,0.1,10,10,0.005,-0.28277,1.01373,0.03937, Dev/Test,sgns,G12
2,0.001,0.1,10,10,0.005,-0.33407,0.93865,0.05217, Train,sgns,G13
2,0.001,0.1,10,10,0.005,-0.27939,1.00743,0.03545, Dev/Test,sgns,G14
3,0.001,0.1,10,10,0.005,-0.37137,0.92701,0.05751, Train,sgns,G15
3,0.001,0.1,10,10,0.005,-0.27616,1.00695,0.04078, Dev/Test,sgns,G16
4,0.001,0.1,10,10,0.005,-0.39571,0.92067,0.06187, Train,sgns,G17
4,0.001,0.1,10,10,0.005,-0.26764,1.00759,0.0411, Dev/Test,sgns,G18
5,0.001,0.1,10,10,0.005,-0.41475,0.91614,0.0656, Train,sgns,G19
5,0.001,0.1,10,10,0.005,-0.26364,1.00531,0.03765, Dev/Test,sgns,G20
1,0.001,0.1,20,5,0.005,-0.29343,0.93744,0.04313, Train,sgns,G21
1,0.001,0.1,20,5,0.005,-0.31288,0.97931,0.04471, Dev/Test,sgns,G22
2,0.001,0.1,20,5,0.005,-0.38284,0.90275,0.05992, Train,sgns,G23
2,0.001,0.1,20,5,0.005,-0.30905,0.9753,0.04675, Dev/Test,sgns,G24
3,0.001,0.1,20,5,0.005,-0.42971,0.88681,0.07035, Train,sgns,G25
3,0.001,0.1,20,5,0.005,-0.30106,0.97611,0.04549, Dev/Test,sgns,G26
4,0.001,0.1,20,5,0.005,-0.45922,0.87587,0.0787, Train,sgns,G27
4,0.001,0.1,20,5,0.005,-0.29657,0.98045,0.04408, Dev/Test,sgns,G28
5,0.001,0.1,20,5,0.005,-0.4795,0.86823,0.0836, Train,sgns,G29
5,0.001,0.1,20,5,0.005,-0.29108,0.9863,0.04455, Dev/Test,sgns,G30
1,0.001,0.1,20,10,0.005,-0.27385,0.94421,0.04171, Train,sgns,G31
1,0.001,0.1,20,10,0.005,-0.29048,0.98541,0.04235, Dev/Test,sgns,G32
2,0.001,0.1,20,10,0.005,-0.35664,0.90439,0.05474, Train,sgns,G33
2,0.001,0.1,20,10,0.005,-0.29223,0.97995,0.0469, Dev/Test,sgns,G34
3,0.001,0.1,20,10,0.005,-0.40455,0.8861,0.06439, Train,sgns,G35
3,0.001,0.1,20,10,0.005,-0.28994,0.97864,0.04612, Dev/Test,sgns,G36
4,0.001,0.1,20,10,0.005,-0.43778,0.87404,0.07076, Train,sgns,G37
4,0.001,0.1,20,10,0.005,-0.28996,0.98165,0.04925, Dev/Test,sgns,G38
5,0.001,0.1,20,10,0.005,-0.46135,0.86464,0.07746, Train,sgns,G39
5,0.001,0.1,20,10,0.005,-0.28812,0.98037,0.04769, Dev/Test,sgns,G40
1,0.001,0.1,50,5,0.005,-0.30742,0.94423,0.04582, Train,sgns,G41
1,0.001,0.1,50,5,0.005,-0.30684,0.97297,0.04392, Dev/Test,sgns,G42
2,0.001,0.1,50,5,0.005,-0.41258,0.8873,0.0676, Train,sgns,G43
2,0.001,0.1,50,5,0.005,-0.30961,0.97248,0.05443, Dev/Test,sgns,G44
3,0.001,0.1,50,5,0.005,-0.47234,0.8506,0.08333, Train,sgns,G45
3,0.001,0.1,50,5,0.005,-0.30351,0.98239,0.05176, Dev/Test,sgns,G46
4,0.001,0.1,50,5,0.005,-0.5095,0.82708,0.09729, Train,sgns,G47
4,0.001,0.1,50,5,0.005,-0.29738,0.98583,0.04847, Dev/Test,sgns,G48
5,0.001,0.1,50,5,0.005,-0.5358,0.81078,0.10777, Train,sgns,G49
5,0.001,0.1,50,5,0.005,-0.29169,0.99545,0.04549, Dev/Test,sgns,G50
1,0.001,0.1,50,10,0.005,-0.29098,0.92823,0.04208, Train,sgns,G51
1,0.001,0.1,50,10,0.005,-0.3018,0.96928,0.04659, Dev/Test,sgns,G52
2,0.001,0.1,50,10,0.005,-0.38995,0.8849,0.06267, Train,sgns,G53
2,0.001,0.1,50,10,0.005,-0.30751,0.96973,0.04816, Dev/Test,sgns,G54
3,0.001,0.1,50,10,0.005,-0.45357,0.85381,0.07792, Train,sgns,G55
3,0.001,0.1,50,10,0.005,-0.29943,0.97613,0.04863, Dev/Test,sgns,G56
4,0.001,0.1,50,10,0.005,-0.49418,0.83315,0.08961, Train,sgns,G57
4,0.001,0.1,50,10,0.005,-0.2934,0.98167,0.0469, Dev/Test,sgns,G58
5,0.001,0.1,50,10,0.005,-0.52329,0.81683,0.09908, Train,sgns,G59
5,0.001,0.1,50,10,0.005,-0.28486,0.98514,0.04047, Dev/Test,sgns,G60
1,0.001,0.2,10,5,0.005,-0.26634,0.95344,0.04056, Train,sgns,G61
1,0.001,0.2,10,5,0.005,-0.28548,0.9964,0.04125, Dev/Test,sgns,G62
2,0.001,0.2,10,5,0.005,-0.33304,0.92691,0.05068, Train,sgns,G63
2,0.001,0.2,10,5,0.005,-0.2815,0.99268,0.04298, Dev/Test,sgns,G64
3,0.001,0.2,10,5,0.005,-0.3664,0.91868,0.05508, Train,sgns,G65
3,0.001,0.2,10,5,0.005,-0.26935,0.99473,0.04251, Dev/Test,sgns,G66
4,0.001,0.2,10,5,0.005,-0.38687,0.91501,0.06079, Train,sgns,G67
4,0.001,0.2,10,5,0.005,-0.2752,0.99801,0.04188, Dev/Test,sgns,G68
5,0.001,0.2,10,5,0.005,-0.40109,0.91226,0.06473, Train,sgns,G69
5,0.001,0.2,10,5,0.005,-0.265,1.00022,0.04031, Dev/Test,sgns,G70
1,0.001,0.2,10,10,0.005,-0.25615,0.96801,0.03811, Train,sgns,G71
1,0.001,0.2,10,10,0.005,-0.27584,1.01386,0.03545, Dev/Test,sgns,G72
2,0.001,0.2,10,10,0.005,-0.32425,0.94197,0.04889, Train,sgns,G73
